index,eigenvalue
109,4.3610238568483535
110,4.397395453237489
111,4.432135807444272
112,4.463967289135622
113,4.471364062353687
114,4.506464166295824
115,4.527829555054113
116,4.536569517687257
117,4.57344006583877
118,4.606217561528785
119,4.608279039271029
120,4.614736195535095
121,4.674298930021516
122,4.709438226593824
123,4.710242727962277
124,4.759981553726302
125,4.829969436107415
126,4.937094949386195
127,4.94849974023399
128,4.959860826831948
129,5.011708127982795
130,5.021213497349708
131,5.055663901910414
132,5.093518751435011
133,5.179367689320296
134,5.179497111095202
135,5.202478296703114
136,5.211308115555473
137,5.217664070751403
138,5.2380257543998345
139,5.273829930153954
140,5.299821242310307
141,5.307788014926992
142,5.36695717645347
143,5.460729360943592
144,5.466184609890274
145,5.474495306153991
146,5.494239959950249
147,5.553582527412884
148,5.621257142381187
149,5.628631793565558
150,5.6487817930081015
151,5.670194481489051
152,5.733491901681054
153,5.754371227589061
154,5.779555444999008
155,5.788798088932481
156,5.867043533459326
157,5.8869715070037545
158,5.907280049032707
159,5.915343020416146
160,5.921734737182991
161,5.956953249925335
162,5.9852728646233135
163,5.99448746975533
164,6.091965743659346
165,6.110738079410528
166,6.179971459412975
167,6.192535871434764
168,6.204370863506111
169,6.250349488267236
170,6.252075889838204
171,6.282869942917004
172,6.33290606662572
173,6.345948682644938
174,6.384576791813437
175,6.436246707962637
176,6.490273008992888
177,6.537168352395843
178,6.542031489884139
179,6.597833501551771
180,6.622684099013657
181,6.6240306748358115
182,6.6305743164622175
183,6.705008347528555
184,6.725867337172795
185,6.734096661972968
186,6.759797043336206
187,6.785382406918307
188,6.838195295464876
189,6.8511974786094205
190,6.8699326721102185
191,6.887793032776716
192,6.923912414737684
193,6.967042617350905
194,7.033261023587791
195,7.0731644842334305
196,7.085826803583692
197,7.13371821138879
198,7.144330990859752
199,7.168769420106766
200,7.214195347308705
201,7.241868326543959
202,7.2856092131015115
203,7.291141322387314
204,7.331554150663844
205,7.380983401536871
206,7.383042754654611
207,7.442144819603799
208,7.452079406861094
209,7.479389007453837
210,7.519045386018161
211,7.526224307443838
212,7.556731038820943
213,7.563179476165875
214,7.574248797124311
215,7.647040271550828
216,7.663547724350913
217,7.6762400830316775
218,7.7657027653382364
219,7.813808028336077
220,7.839604661186621
221,7.862874011821214
222,7.8646563512272865
223,7.897400534786909
224,7.951443694281647
225,7.964052728569921
226,7.998676219343063
227,7.998748490891785
228,8.005468862594071
229,8.036341632173373
230,8.057409410862917
231,8.090817885926464
232,8.097110883513931
233,8.117619954000906
234,8.155969064896123
235,8.167908830798227
236,8.182899216791135
237,8.215116779918977
238,8.240157361353939
239,8.258658835267095
240,8.298917762249667
241,8.353293546916301
242,8.379891263467485
243,8.401784893387843
244,8.464327934123126
245,8.471665048798059
246,8.505875100355603
247,8.526656498086343
248,8.56152177398258
249,8.641485691853166
250,8.660577952320645
251,8.679490299651281
252,8.705711814769485
253,8.73821163768686
254,8.746892135964456
255,8.777833867390447
256,8.797958822926905
257,8.819934442124177
258,8.846667005911398
259,8.855650825571006
260,8.892531901431308
261,8.922737660256704
262,8.939414255831576
263,8.956715341533425
264,9.007865029937092
265,9.030673049402738
266,9.122740327485417
267,9.132974486434508
268,9.16322397521825
269,9.167636108167986
270,9.218695193803649
271,9.232582085738112
272,9.276985618049808
273,9.311489444512295
274,9.343227441317667
275,9.359680802651896
276,9.408189142484211
277,9.410632906139016
278,9.43536754729526
279,9.448870083206165
280,9.458468037815553
281,9.465596351712701
282,9.501876608038325
283,9.583379945653718
284,9.588113186204192
285,9.59129190813981
286,9.631811593068882
287,9.671843078011936
288,9.687235529235293
289,9.692322319571707
290,9.727262571272306
291,9.743554768623547
292,9.754356169093608
293,9.786842670607173
294,9.796030352286651
295,9.840774510419108
296,9.85288400811207
297,9.94247223057261
298,9.955127740310102
299,9.974563925998744
300,9.983950644713287
301,10.038629298186216
302,10.069964843051844
303,10.109859744411184
304,10.111758845488719
305,10.152521379085695
306,10.158025717505858
307,10.167799063371072
308,10.180045118429149
309,10.211132078204429
310,10.257902007679059
311,10.283203642967516
312,10.312283148835277
313,10.316768048577618
314,10.327933103289183
315,10.375061168031726
316,10.386409482066341
317,10.411328620014503
318,10.42305812939604
319,10.491810887522046
320,10.515359798545225
321,10.529722364082556
322,10.534068429489542
323,10.553599054675153
324,10.590622826806353
325,10.608665746922254
326,10.610941048969613
327,10.681247185588518
328,10.683755209505504
329,10.762007871109969
330,10.764809535393367
331,10.795954179856128
332,10.824734467767193
333,10.832550409247428
334,10.841294225285383
335,10.87579204429097
336,10.882080609709135
337,10.888911244054919
338,10.923366017279522
339,10.927842312842925
340,10.95158502065258
341,10.982581129076005
342,11.00154540171495
343,11.012222408284648
344,11.026854431457712
345,11.080962263177925
346,11.109212872763617
347,11.156985692128634
348,11.19021233423942
349,11.200603834426387
350,11.226296423670403
351,11.258043087374505
352,11.285012317991121
353,11.344377000403414
354,11.365067631526381
355,11.378957791511905
356,11.434846086747141
357,11.467442754931504
358,11.472395168785312
359,11.480974464100385
360,11.498646711167838
361,11.506711389045531
362,11.52925487787754
363,11.574056151860146
364,11.580992625507267
365,11.63387392355628
366,11.689945810259758
367,11.700899315038267
368,11.706989856366459
369,11.714175142906571
370,11.751946859222866
371,11.753897693154833
372,11.766990770307615
373,11.779292846164088
374,11.82606189199052
375,11.837431798204392
376,11.888266714613351
377,11.891644753244735
378,11.916218616968793
379,11.922745573874018
380,11.969734545666883
381,11.985805293243134
382,12.007156591586272
383,12.041024318834124
384,12.06671552044109
385,12.081493027419361
386,12.107042638267213
387,12.120339725327646
388,12.17374780494032
389,12.19766844405069
390,12.214202632451423
391,12.225458845141544
392,12.246622440635344
393,12.258130766099233
394,12.285290995538539
395,12.308846459920211
396,12.349688304805776
397,12.352886290125351
398,12.361727576420279
399,12.39736146406142
400,12.398264770407618
401,12.45049641378725
402,12.45349569943643
403,12.4916173540121
404,12.507842526618806
405,12.52933015512504
406,12.54900684439442
407,12.574894840970574
408,12.592285390674741
409,12.604268985412379
410,12.62443784796907
411,12.6610533550602
412,12.66879519673927
413,12.698287128757658
414,12.732940828209365
