model,role,order,radius_A,reference,prediction,error
LJ_only,excluded,2,3.225,0.14491118058719757,0.03236694000365833,-0.11254424058353923
LJ_only,excluded,2,3.475,0.053980991473446364,-0.01831371113498055,-0.07229470260842691
LJ_only,excluded,2,3.725,-0.30196215912499696,-0.023004306292716527,0.2789578528322804
LJ_only,excluded,2,3.975,0.09736125828492129,-0.018320632305150655,-0.11568189059007195
LJ_only,excluded,2,4.225,0.09571777942474434,-0.013078081933244704,-0.10879586135798905
LJ_only,excluded,2,4.475,0.10975833348804613,-0.009020136646567093,-0.11877847013461322
LJ_only,excluded,2,4.725,0.1046656322329554,-0.0061729426134791545,-0.11083857484643456
LJ_only,excluded,2,4.975,-0.03677278102737831,-0.0042391014594239974,0.03253367956795432
LJ_only,excluded,2,5.225,-0.14658784522328236,-0.002936126573639752,0.1436517186496426
LJ_only,excluded,2,5.475,-0.12829892373871687,-0.0020558170143138,0.1262431067244031
LJ_only,excluded,2,5.725,-0.06958978052292884,-0.001456410915691143,0.0681333696072377
LJ_only,excluded,2,5.975,0.08624514383646689,-0.0010440950530445393,-0.08728923888951143
source_density_gauge,fit,0,2.1,1.0557462688917805,1.5555699307226507,0.49982366183087024
source_density_gauge,fit,0,2.35,0.4243090888718944,0.3319594931475788,-0.09234959572431561
source_density_gauge,fit,0,2.6,0.07840391033983327,0.03336029289411044,-0.04504361744572283
source_density_gauge,fit,0,2.85,-0.03977715496730979,-0.041557365912254035,-0.0017802109449442452
source_density_gauge,fit,0,3.1,-0.06718805223508954,-0.049608287866023844,0.0175797643690657
source_density_gauge,fit,0,3.35,-0.06342222424710821,-0.037049037702461506,0.026373186544646703
source_density_gauge,fit,0,3.6,-0.05323359500405456,-0.02251824350155251,0.030715351502502045
source_density_gauge,fit,0,3.85,-0.05122341565930674,-0.012876765404857498,0.03834665025444924
source_density_gauge,fit,0,4.1,-0.055315255640364255,-0.007552409243929367,0.04776284639643489
source_density_gauge,fit,0,4.35,-0.05294899043649517,-0.004843506795401714,0.048105483641093454
source_density_gauge,fit,0,4.6,-0.04427558739789523,-0.003404150226206704,0.04087143717168853
source_density_gauge,fit,0,4.85,-0.0285316461202155,-0.0027069689495085097,0.02582467717070699
source_density_gauge,fit,0,5.1,-0.010704825445008928,-0.002253494795973055,0.008451330649035874
source_density_gauge,fit,0,5.35,0.001256832735030885,-0.00173477648953724,-0.0029916092245681246
source_density_gauge,fit,0,5.6,0.004756619554422246,-0.0010876717677864775,-0.005844291322208724
source_density_gauge,fit,0,5.85,0.0017291231994778177,-0.0003241161947543949,-0.0020532393942322125
source_density_gauge,fit,0,6.1,-6.213530858619344e-05,-2.5347767694245234e-06,5.960053181676891e-05
source_density_gauge,fit,1,2.1,-2.860621826340706,-9.433283974458874,-6.572662148118168
source_density_gauge,fit,1,2.35,-2.0386596659733605,-2.1870659495154934,-0.14840628354213292
source_density_gauge,fit,1,2.6,-0.8152085543622667,-0.5653639057930203,0.24984464856924637
source_density_gauge,fit,1,2.85,-0.23628296699121218,-0.11785032611494566,0.11843264087626652
source_density_gauge,fit,1,3.1,-0.017140494979552588,0.02637815798347394,0.043518652963026525
source_density_gauge,fit,1,3.35,0.033159186952258515,0.06263623857844701,0.029477051626188494
source_density_gauge,fit,1,3.6,0.038803572837861566,0.048874595618811696,0.01007102278095013
source_density_gauge,fit,1,3.85,-0.019030936532425505,0.028949842101424428,0.04798077863384993
source_density_gauge,fit,1,4.1,-0.003599518022384618,0.014816479940073622,0.01841599796245824
source_density_gauge,fit,1,4.35,0.02146858940134793,0.00787278135818865,-0.01359580804315928
source_density_gauge,fit,1,4.6,0.04890475992637511,0.0039490032706226185,-0.044955756655752487
source_density_gauge,fit,1,4.85,0.0728873238939706,0.0019655814546352896,-0.0709217424393353
source_density_gauge,fit,1,5.1,0.06411249670164484,0.0018935766877818197,-0.062218920013863026
source_density_gauge,fit,1,5.35,0.030348200792916127,0.0022847519583832038,-0.028063448834532923
source_density_gauge,fit,1,5.6,-0.0015713912514412147,0.0029394996514414133,0.004510890902882628
source_density_gauge,fit,1,5.85,-0.016091440568437587,0.0026645493989850616,0.01875598996742265
