grid,s_reduced,fixed_domain_F_minus_F0_ev,conditional_a_over_h,sampled_min_a_over_h
grid_a61_s49_upper2.npz,-0.20408163265306134,0.0794030615690853,1.054712160146351,1.0516393442622949
grid_a61_s49_upper2.npz,-0.1836734693877552,0.06729333845474356,1.0477737129025022,1.0303278688524589
grid_a61_s49_upper2.npz,-0.16326530612244905,0.055431405163540476,1.0410516741146651,1.0303278688524589
grid_a61_s49_upper2.npz,-0.1428571428571429,0.04407248118092007,1.0346744765256823,1.0303278688524589
grid_a61_s49_upper2.npz,-0.12244897959183676,0.03348425392562611,1.0287752776563746,1.009016393442623
grid_a61_s49_upper2.npz,-0.10204081632653073,0.02393768391445146,1.0234885096862092,1.009016393442623
grid_a61_s49_upper2.npz,-0.08163265306122469,0.01569554225264977,1.0189450189016636,1.009016393442623
grid_a61_s49_upper2.npz,-0.061224489795918546,0.008999301660518336,1.0152659389866276,1.009016393442623
grid_a61_s49_upper2.npz,-0.0408163265306124,0.004055419050629602,1.0125557604859605,1.009016393442623
grid_a61_s49_upper2.npz,-0.020408163265306256,0.001022378687575251,1.010895371976428,1.009016393442623
grid_a61_s49_upper2.npz,-1.1102230246251565e-16,0.0,1.0103360504401058,1.009016393442623
grid_a61_s49_upper2.npz,0.020408163265306034,0.001022378687575251,1.010895371976428,1.009016393442623
grid_a61_s49_upper2.npz,0.04081632653061218,0.004055419050629602,1.0125557604859605,1.009016393442623
grid_a61_s49_upper2.npz,0.061224489795918324,0.008999301660518336,1.0152659389866276,1.009016393442623
grid_a61_s49_upper2.npz,0.08163265306122436,0.01569554225264977,1.0189450189016636,1.009016393442623
grid_a61_s49_upper2.npz,0.10204081632653039,0.02393768391445146,1.0234885096862092,1.009016393442623
grid_a61_s49_upper2.npz,0.12244897959183654,0.03348425392562611,1.0287752776563746,1.009016393442623
grid_a61_s49_upper2.npz,0.14285714285714268,0.04407248118092007,1.0346744765256823,1.0303278688524589
grid_a61_s49_upper2.npz,0.16326530612244883,0.055431405163540476,1.0410516741146651,1.0303278688524589
grid_a61_s49_upper2.npz,0.18367346938775497,0.06729333845474356,1.0477737129025022,1.0303278688524589
grid_a61_s49_upper2.npz,0.20408163265306112,0.0794030615690853,1.054712160146351,1.0516393442622949
grid_a61_s49_upper2.npz,0.22448979591836726,0.09152452783063555,1.0617454510634545,1.0516393442622949
grid_a61_s49_upper2.npz,0.2448979591836734,0.10344516912655322,1.068759976660273,1.0516393442622949
grid_a61_s49_upper2.npz,0.26530612244897944,0.11497809564507655,1.0756504236443438,1.0516393442622949
grid_a61_s49_upper2.npz,0.2857142857142855,0.125962582131685,1.0823196632526173,1.0729508196721311
grid_a61_s49_upper2.npz,0.3061224489795916,0.13626325491090888,1.0886784370013363,1.0729508196721311
grid_a61_s49_upper2.npz,0.32653061224489777,0.14576836660293005,1.0946450227172437,1.0729508196721311
grid_a61_s49_upper2.npz,0.3469387755102039,0.15438749336363364,1.100144998439696,1.0942622950819672
grid_a61_s49_upper2.npz,0.36734693877551006,0.1620489295577137,1.105111163182425,1.0942622950819672
grid_a61_s49_upper2.npz,0.3877551020408162,0.1686969970741852,1.109483626262078,1.0942622950819672
grid_a61_s49_upper2.npz,0.40816326530612235,0.17428943584102072,1.1132100426138123,1.0942622950819672
grid_a61_s49_upper2.npz,0.4285714285714285,0.17879500001376414,1.1162459502163289,1.0942622950819672
grid_a61_s49_upper2.npz,0.44897959183673464,0.1821913505612485,1.1185551561462315,1.0942622950819672
grid_a61_s49_upper2.npz,0.46938775510204067,0.1844633085568492,1.120110117615704,1.0942622950819672
grid_a61_s49_upper2.npz,0.4897959183673467,0.1856015131972434,1.120892270825717,1.0942622950819672
grid_a85_s49_upper2.5.npz,-0.489795918367347,0.18560151289467575,1.1208922826384387,1.112941176470588
grid_a85_s49_upper2.5.npz,-0.4693877551020409,0.18446330826760415,1.1201101289175532,1.112941176470588
grid_a85_s49_upper2.5.npz,-0.44897959183673486,0.1821913502968624,1.1185551664933224,1.091764705882353
grid_a85_s49_upper2.5.npz,-0.4285714285714287,0.17879499978260588,1.1162459592841765,1.091764705882353
grid_a85_s49_upper2.5.npz,-0.40816326530612257,0.17428943564757743,1.1132100502250055,1.091764705882353
grid_a85_s49_upper2.5.npz,-0.3877551020408164,0.16869699691911408,1.1094836323860944,1.091764705882353
