occupation,charge_rate,intervals,diffusion,length,mean_time_numerical,mean_time_discrete_exact,mean_time_continuum_exact,fast_absorbing_mean_time,discrete_formula_relative_error,linear_system_max_residual,continuum_relative_error,excess_over_fast_boundary,continuum_excess,charge_to_grid_rate_ratio,cells_across_charge_boundary_layer
0.2,10000.0,128,0.4,1.0,1.3038095437309871,1.3038095437311437,1.3132455532033676,1.25,1.2006465762182458e-13,9.094947017729282e-12,-0.007185259031993986,0.05380954373098712,0.06324555320336755,1.52587890625,0.8095430810031051
0.2,10000.0,256,0.4,1.0,1.3104296506658024,1.310429650666135,1.3132455532033676,1.25,2.538272985570905e-13,2.1827872842550278e-11,-0.0021442315419963756,0.060429650665802415,0.06324555320336755,0.3814697265625,1.6190861620062102
0.2,10000.0,512,0.4,1.0,1.3125048266735972,1.3125048266726465,1.3132455532033676,1.25,7.244125727898165e-13,8.731149137020111e-11,-0.0005640426711999687,0.06250482667359725,0.06324555320336755,0.095367431640625,3.2381723240124205
0.2,10000.0,1024,0.4,1.0,1.3130579051976448,1.313057905203256,1.3132455532033676,1.25,4.2734514516264695e-12,3.4924596548080444e-10,-0.00014288874252425273,0.06305790519764476,0.06324555320336755,0.02384185791015625,6.476344648024841
0.2,1000000.0,8,0.4,1.0,1.2500639967185343,1.2500639967234517,1.2563245553203368,1.25,3.933718460461834e-12,1.3584511293629475e-10,-0.004983233492722914,6.399671853429822e-05,0.006324555320336822,39062.5,0.005059644256269407
0.2,1000000.0,16,0.4,1.0,1.250127973782864,1.2501279737936504,1.2563245553203368,1.25,8.628125279615297e-12,2.559801259849337e-10,-0.004932309498553669,0.00012797378286411032,0.006324555320336822,9765.625,0.010119288512538814
0.2,1000000.0,32,0.4,1.0,1.2502557905443152,1.2502557905421467,1.2563245553203368,1.25,1.7344351676687995e-12,3.3662672649370506e-10,-0.004830570850757728,0.0002557905443152375,0.006324555320336822,2441.40625,0.020238577025077628
0.2,1000000.0,64,0.4,1.0,1.2505103304736997,1.2505103304799579,1.2563245553203368,1.25,5.004440981151401e-12,2.894466888392344e-10,-0.004627964025708759,0.0005103304736997494,0.006324555320336822,610.3515625,0.040477154050155256
0.2,1000000.0,128,0.4,1.0,1.2510108364757198,1.251010836474563,1.2563245553203368,1.25,9.247341093539246e-13,4.3291947804391384e-10,-0.004229574931186613,0.0010108364757197563,0.006324555320336822,152.587890625,0.08095430810031051
0.2,1000000.0,256,0.4,1.0,1.2519483940720046,1.2519483940676832,1.2563245553203368,1.25,3.4517653615180345e-12,4.147295840084553e-10,-0.0034833047159667646,0.0019483940720046444,0.006324555320336822,38.14697265625,0.16190861620062102
0.2,1000000.0,512,0.4,1.0,1.253437976462176,1.2534379764449217,1.2563245553203368,1.25,1.3765498089695595e-11,6.693881005048752e-10,-0.0022976378563458757,0.003437976462175918,0.006324555320336822,9.5367431640625,0.32381723240124205
0.2,1000000.0,1024,0.4,1.0,1.255006188896882,1.2550061888971844,1.2563245553203368,1.25,2.4097470959377763e-13,7.566995918750763e-10,-0.0010493836309031512,0.00500618889688198,0.006324555320336822,2.384185791015625,0.6476344648024841
0.8,0.01,8,0.4,1.0,26.45715966344123,26.45715966345066,26.457986935769082,1.25,3.563837624097692e-13,5.153655280309977e-13,-3.12673949782542e-05,25.20715966344123,25.207986935769082,0.00039062499999999997,50.59644256269407
0.8,0.01,16,0.4,1.0,26.457780106521128,26.457780106564982,26.457986935769082,1.25,1.6575350416579996e-12,5.03774799653911e-12,-7.817270771821858e-06,25.207780106521128,25.207986935769082,9.765624999999999e-05,101.19288512538814
0.8,0.01,32,0.4,1.0,26.457935227651234,26.457935227772715,26.457986935769082,1.25,4.5914955376179934e-12,1.8133938795017457e-11,-1.9543481510315523e-06,25.207935227651234,25.207986935769082,2.4414062499999998e-05,202.3857702507763
0.8,0.01,64,0.4,1.0,26.457974009284356,26.457974008726534,26.457986935769082,1.25,2.1083331349011027e-11,6.654898854208113e-11,-4.885664490146283e-07,25.207974009284356,25.207986935769082,6.1035156249999995e-06,404.7715405015526
