state,change,atom_i,atom_j,initial_surface_i,initial_surface_j,touches_grip,old_distance_A,distance_A,midpoint_z_A
loading_10pct,lost,200,201,False,False,False,2.3416884360746675,3.5714660085343617,-0.20451378098932893
loading_10pct,lost,203,236,False,False,False,2.3404509116559473,3.0958156677297537,3.1873738118221384
loading_10pct,lost,203,238,False,False,False,2.3595732082224345,4.712722348055515,4.877262059046641
loading_10pct,lost,205,240,True,True,False,2.3396242572830146,4.852054078395423,2.1932801906790065
loading_10pct,lost,211,244,False,False,False,2.3404730159885636,3.0958156400819066,3.1873738258032063
loading_10pct,lost,213,248,False,False,False,2.365089886729405,4.1334490777054755,2.1778512294047614
loading_10pct,lost,230,245,True,False,False,2.347886492915966,3.120061804861258,6.831259581814663
loading_10pct,lost,234,249,False,False,False,2.379787908266738,3.5111383362123494,6.6159737176483
loading_10pct,lost,237,272,False,False,False,2.3402103145338615,3.3154474487015295,7.014176047012725
loading_10pct,lost,238,241,False,True,False,2.3479092504332515,3.120061890358488,6.831259605118385
loading_10pct,lost,243,278,True,True,False,2.347397361305178,3.789729866342097,8.646642181551059
loading_10pct,lost,244,245,False,False,False,2.359645334899439,4.71272226655007,4.877262010551962
loading_10pct,lost,246,247,False,False,False,2.340319489791829,3.3154474938286578,7.014176031501165
loading_10pct,lost,255,290,True,True,True,2.495219741814522,3.0455096989673147,13.18181573541491
loading_10pct,lost,259,263,True,True,False,2.4554982414227244,4.783724189356091,12.27080570651687
loading_10pct,lost,264,265,True,True,False,2.3474707977568663,3.789730033752423,8.646642191101778
loading_10pct,lost,288,289,True,True,True,2.4951053808306587,3.045509725746138,13.181815720007439
loading_10pct,lost,292,296,True,True,False,2.455675504682735,4.7837242262317545,12.27080569514144
loading_10pct,formed,121,129,True,False,False,3.5795395890189057,2.410695856755266,-7.769393554000343
loading_10pct,formed,134,138,True,False,False,3.5801016436860986,2.4106956456273543,-7.7693939627343145
loading_10pct,formed,145,153,True,False,False,3.100376157047705,2.5191816014485346,-3.7318546337266936
loading_10pct,formed,146,150,True,False,False,3.101488712998551,2.5191812829988693,-3.7318545045659106
loading_10pct,formed,147,159,True,True,False,6.314932831812746,2.458740455838835,-2.1815050172557253
loading_10pct,formed,147,161,True,False,False,3.757519505694246,2.4407271927443923,-3.002110929849794
loading_10pct,formed,147,196,True,False,False,4.5801993682979125,2.6250622946631945,-1.8980713706894377
loading_10pct,formed,149,153,False,False,False,3.3833824694390744,2.6572047658884697,-3.7570080140195277
loading_10pct,formed,150,154,False,False,False,3.38330789315399,2.6572045467760375,-3.757007820876821
loading_10pct,formed,150,155,False,True,False,3.677581421765631,2.6141774566660625,-2.261395430514994
loading_10pct,formed,151,182,True,True,False,3.7039498564439035,2.5170537269992344,0.6767827119089184
loading_10pct,formed,151,196,True,False,False,4.3280196840387655,2.379317091706957,-0.9286392886754182
loading_10pct,formed,153,184,False,True,False,3.677769614043383,2.614177442409177,-2.261395565879244
loading_10pct,formed,155,200,True,False,False,4.408138839211616,2.3841159697537653,-1.3967059739213081
loading_10pct,formed,157,165,True,False,False,3.54565633617519,2.394871429590878,-3.8621863640698537
loading_10pct,formed,163,167,False,False,False,4.062115375204791,2.5744282316282834,-1.7727505483653663
loading_10pct,formed,170,174,True,False,False,3.5462827271506603,2.39487147054848,-3.862186604589102
loading_10pct,formed,171,175,True,False,False,3.692418125015341,2.3468328234868725,-1.6231654122839991
loading_10pct,formed,175,184,False,True,False,4.4078998467654,2.384115952565352,-1.396706062515487
loading_10pct,formed,178,180,False,True,False,3.7583938364813214,2.4407276441701775,-3.0021112062965516
loading_10pct,formed,179,180,False,True,False,4.581005193134998,2.6250622248619355,-1.8980714251774096
loading_10pct,formed,179,188,False,True,False,4.328284746648865,2.379317084052457,-0.928639454793944
loading_10pct,formed,179,205,False,True,False,3.8317617251582763,2.467993158935991,-0.8172301586084673
loading_10pct,formed,180,204,True,True,False,6.316522868066788,2.458741051628625,-2.1815050076509452
loading_10pct,formed,181,188,True,True,False,3.7032677442540156,2.517053835705891,0.6767826588506403
loading_10pct,formed,185,189,False,False,False,3.3815219886781187,2.5515321052549225,1.5475341829507685
