model,stretch,radius,qx,qy,qz,minimum_H,tail_bound,margin,radius_change
shape_refinement/old_family,0.98,12.0,0.56,0.24,0.16,25.67522560936919,2.8389972846557227e-05,25.675197219396342,
shape_refinement/old_family,0.98,12.0,0.56,0.24,0.24,26.287091307277464,2.8396596473077677e-05,26.28706291068099,
shape_refinement/old_family,0.98,12.0,0.56,0.32,0.0,20.837993184695623,2.8380044824000295e-05,20.8379648046508,
shape_refinement/old_family,0.98,12.0,0.56,0.32,0.08,21.386978846966393,2.838331315826728e-05,21.386950463653235,
shape_refinement/old_family,0.98,12.0,0.56,0.32,0.16,22.760752793846237,2.8391580561193375e-05,22.760724402265677,
shape_refinement/old_family,0.98,12.0,0.56,0.32,0.24,24.100861841857213,2.840151008237246e-05,24.10083344034713,
shape_refinement/old_family,0.98,12.0,0.56,0.32,0.32,23.9799228063048,2.8409920659902514e-05,23.97989439638414,
shape_refinement/old_family,0.98,12.0,0.56,0.4,0.0,19.867729872566933,2.8374328355609182e-05,19.867701498238578,
shape_refinement/old_family,0.98,12.0,0.56,0.4,0.08,20.068556611675255,2.8378693563229887e-05,20.06852823298169,
shape_refinement/old_family,0.98,12.0,0.56,0.4,0.16,20.633966234290934,2.838963431059773e-05,20.633937844656625,
shape_refinement/old_family,0.98,12.0,0.56,0.4,0.24,21.399717807696266,2.8402844946913648e-05,21.39968940485132,
shape_refinement/old_family,0.98,12.0,0.56,0.4,0.32,21.96176784928909,2.8414622257675016e-05,21.961739434666832,
shape_refinement/old_family,0.98,12.0,0.56,0.4,0.4,21.572498285008205,2.8422551968074424e-05,21.572469862456238,
shape_refinement/old_family,0.98,12.0,0.56,0.48,0.0,19.421555705309018,2.8364274874898472e-05,19.421527341034142,
shape_refinement/old_family,0.98,12.0,0.56,0.48,0.08,19.50798848673369,2.83698286839307e-05,19.507960116905007,
shape_refinement/old_family,0.98,12.0,0.56,0.48,0.16,19.754198299768152,2.838343982905447e-05,19.754169916328323,
shape_refinement/old_family,0.98,12.0,0.56,0.48,0.24,20.09708028744598,2.8399676311893665e-05,20.09705188776967,
shape_refinement/old_family,0.98,12.0,0.56,0.48,0.32,20.396853658735537,2.8414467455811218e-05,20.396825244268083,
shape_refinement/old_family,0.98,12.0,0.56,0.48,0.4,20.431800143545075,2.8425328725310075e-05,20.43177171821635,
shape_refinement/old_family,0.98,12.0,0.56,0.56,0.0,20.567062927177165,2.835005201215663e-05,20.567034577125153,
shape_refinement/old_family,0.98,12.0,0.56,0.56,0.08,20.62678199294941,2.8356933798701698e-05,20.62675363601561,
shape_refinement/old_family,0.98,12.0,0.56,0.56,0.16,20.77388190757313,2.83731302077411e-05,20.773853534442924,
shape_refinement/old_family,0.98,12.0,0.56,0.56,0.24,20.923981090806123,2.8391937578670243e-05,20.923952698868543,
shape_refinement/old_family,0.98,12.0,0.56,0.56,0.32,20.968786264088198,2.8409201818819518e-05,20.96875785488638,
shape_refinement/old_family,0.98,12.0,0.64,0.0,0.0,34.9363633153186,2.838035880221797e-05,34.9363349349598,
shape_refinement/old_family,0.98,12.0,0.64,0.08,0.0,33.897394367769074,2.8379855080771933e-05,33.89736598791399,
shape_refinement/old_family,0.98,12.0,0.64,0.08,0.08,34.409473241036466,2.8379575638067168e-05,34.40944486146083,
shape_refinement/old_family,0.98,12.0,0.64,0.16,0.0,32.049479699722134,2.8378138895296437e-05,32.04945132158324,
shape_refinement/old_family,0.98,12.0,0.64,0.16,0.08,32.80540334092285,2.8378506016922156e-05,32.805374962416835,
shape_refinement/old_family,0.98,12.0,0.64,0.16,0.16,32.71981955696479,2.8379269895165977e-05,32.719791177694894,
shape_refinement/old_family,0.98,12.0,0.64,0.24,0.0,30.964821483272218,2.8374671788069685e-05,30.96479310860043,
shape_refinement/old_family,0.98,12.0,0.64,0.24,0.08,31.156552117971557,2.837604290482333e-05,31.156523741928652,
shape_refinement/old_family,0.98,12.0,0.64,0.24,0.16,31.02443219854254,2.8379563518404486e-05,31.024403818979025,
shape_refinement/old_family,0.98,12.0,0.64,0.24,0.24,29.794128361617606,2.8383773551360685e-05,29.794099977844056,
shape_refinement/old_family,0.98,12.0,0.64,0.32,0.0,30.489959748159663,2.8368779271586777e-05,30.48993137938039,
shape_refinement/old_family,0.98,12.0,0.64,0.32,0.08,30.12466873710513,2.8371442618321826e-05,30.12464036566251,
shape_refinement/old_family,0.98,12.0,0.64,0.32,0.16,29.182493259716722,2.8378338694946887e-05,29.182464881378028,
shape_refinement/old_family,0.98,12.0,0.64,0.32,0.24,27.81949054403489,2.8387000035742864e-05,27.819462157034852,
shape_refinement/old_family,0.98,12.0,0.64,0.32,0.32,26.037970974549243,2.8394917802265607e-05,26.03794257963144,
shape_refinement/old_family,0.98,12.0,0.64,0.4,0.0,29.63356262960043,2.8359888816098213e-05,29.633534269711614,
shape_refinement/old_family,0.98,12.0,0.64,0.4,0.08,29.01842495298334,2.836410088308956e-05,29.01839658888246,
shape_refinement/old_family,0.98,12.0,0.64,0.4,0.16,27.559759428189007,2.8374740674039804e-05,27.559731053448335,
shape_refinement/old_family,0.98,12.0,0.64,0.4,0.24,25.86657987167805,2.8387889269790283e-05,25.86655148378878,
shape_refinement/old_family,0.98,12.0,0.64,0.4,0.32,24.13500119682192,2.8400216480069486e-05,24.134972796605442,
shape_refinement/old_family,0.98,12.0,0.64,0.4,0.4,22.38757368722764,2.8409507168634098e-05,22.38754527772047,
shape_refinement/old_family,0.98,12.0,0.64,0.48,0.0,27.894726706282263,2.8347723551236e-05,27.894698358558713,
shape_refinement/old_family,0.98,12.0,0.64,0.48,0.08,27.359572261599748,2.835379885271826e-05,27.359543907800894,
shape_refinement/old_family,0.98,12.0,0.64,0.48,0.16,26.055845026846512,2.8368387497711663e-05,26.055816658459015,
shape_refinement/old_family,0.98,12.0,0.64,0.48,0.24,24.505023560737406,2.8385675286284827e-05,24.50499517506212,
shape_refinement/old_family,0.98,12.0,0.64,0.48,0.32,22.9340808853716,2.8401797106708697e-05,22.934052483574494,
shape_refinement/old_family,0.98,12.0,0.64,0.56,0.0,26.12898336076131,2.833240329649316e-05,26.128955028358014,
