dt_ps,prefix_ps,parts,block,nw,lower_cycle_THz,upper_cycle_THz,axis,mobility_m2_per_J_s,normalized_collective_energy_mobility_m2_per_J_s,temperature_K
0.0025,2000,2,0,2.0,0.02,0.04,transverse,208546127838.9444,30030642408807.992,299.0686029102356
0.0025,2000,2,0,2.0,0.04,0.08,normal,68838159846.66649,9912695017919.975,299.0686029102356
0.0025,2000,2,0,2.0,0.04,0.08,direct110,213498708107.58292,30743813967491.94,299.0686029102356
0.0025,2000,2,0,2.0,0.04,0.08,transverse,233827730619.06073,33671193209144.746,299.0686029102356
0.0025,2000,2,0,2.0,0.08,0.16,normal,79432136679.27481,11438227681815.572,299.0686029102356
0.0025,2000,2,0,2.0,0.08,0.16,direct110,222349376329.95435,32018310191513.426,299.0686029102356
0.0025,2000,2,0,2.0,0.08,0.16,transverse,258488197673.59293,37222300464997.38,299.0686029102356
0.0025,2000,2,0,3.0,0.005,0.01,normal,91563244570.25398,13185107218116.574,299.0686029102356
0.0025,2000,2,0,3.0,0.005,0.01,direct110,160030822206.24225,23044438397698.883,299.0686029102356
0.0025,2000,2,0,3.0,0.005,0.01,transverse,309177873828.1701,44521613831256.49,299.0686029102356
0.0025,2000,2,0,3.0,0.01,0.02,normal,74399577949.74811,10713539224763.727,299.0686029102356
0.0025,2000,2,0,3.0,0.01,0.02,direct110,184128337012.7286,26514480529832.918,299.0686029102356
0.0025,2000,2,0,3.0,0.01,0.02,transverse,201796876805.56073,29058750260000.746,299.0686029102356
0.0025,2000,2,0,3.0,0.02,0.04,normal,77855082594.80925,11211131893652.531,299.0686029102356
0.0025,2000,2,0,3.0,0.02,0.04,direct110,173000559707.50266,24912080597880.383,299.0686029102356
0.0025,2000,2,0,3.0,0.02,0.04,transverse,207999681385.19656,29951954119468.305,299.0686029102356
0.0025,2000,2,0,3.0,0.04,0.08,normal,67567685963.68005,9729746778769.928,299.0686029102356
0.0025,2000,2,0,3.0,0.04,0.08,direct110,207496028490.3704,29879428102613.336,299.0686029102356
0.0025,2000,2,0,3.0,0.04,0.08,transverse,232383786745.83813,33463265291400.69,299.0686029102356
0.0025,2000,2,0,3.0,0.08,0.16,normal,78476469286.1105,11300611577199.912,299.0686029102356
0.0025,2000,2,0,3.0,0.08,0.16,direct110,219037110341.96548,31541343889243.03,299.0686029102356
0.0025,2000,2,0,3.0,0.08,0.16,transverse,257245138926.3743,37043300005397.9,299.0686029102356
0.0025,2000,2,1,2.0,0.005,0.01,normal,94302812970.59172,13579605067765.207,299.0849310222226
0.0025,2000,2,1,2.0,0.005,0.01,direct110,235600668411.84552,33926496251305.754,299.0849310222226
0.0025,2000,2,1,2.0,0.005,0.01,transverse,186882849027.1424,26911130259908.504,299.0849310222226
0.0025,2000,2,1,2.0,0.01,0.02,normal,102850086881.6775,14810412510961.56,299.0849310222226
0.0025,2000,2,1,2.0,0.01,0.02,direct110,225662839735.08627,32495448921852.42,299.0849310222226
0.0025,2000,2,1,2.0,0.01,0.02,transverse,158704520183.5074,22853450906425.062,299.0849310222226
0.0025,2000,2,1,2.0,0.02,0.04,normal,89344494913.40604,12865607267530.469,299.0849310222226
0.0025,2000,2,1,2.0,0.02,0.04,direct110,262527235136.21506,37803921859614.97,299.0849310222226
0.0025,2000,2,1,2.0,0.02,0.04,transverse,195524371410.1052,28155509483055.15,299.0849310222226
0.0025,2000,2,1,2.0,0.04,0.08,normal,70622488340.03836,10169638320965.523,299.0849310222226
0.0025,2000,2,1,2.0,0.04,0.08,direct110,224361228338.98547,32308016880813.906,299.0849310222226
0.0025,2000,2,1,2.0,0.04,0.08,transverse,212548447275.13123,30606976407618.9,299.0849310222226
0.0025,2000,2,1,2.0,0.08,0.16,normal,86505955607.5894,12456857607492.873,299.0849310222226
0.0025,2000,2,1,2.0,0.08,0.16,direct110,250498026307.38974,36071715788264.125,299.0849310222226
0.0025,2000,2,1,2.0,0.08,0.16,transverse,199987830469.58035,28798247587619.57,299.0849310222226
0.0025,2000,2,1,3.0,0.005,0.01,normal,91078053140.36565,13115239652212.652,299.0849310222226
0.0025,2000,2,1,3.0,0.005,0.01,direct110,269396293224.56738,38793066224337.7,299.0849310222226
0.0025,2000,2,1,3.0,0.005,0.01,transverse,186278583865.5633,26824116076641.113,299.0849310222226
0.0025,2000,2,1,3.0,0.01,0.02,normal,98763072739.46716,14221882474483.271,299.0849310222226
0.0025,2000,2,1,3.0,0.01,0.02,direct110,222043641319.45978,31974284350002.207,299.0849310222226
0.0025,2000,2,1,3.0,0.01,0.02,transverse,163788089562.35287,23585484896978.812,299.0849310222226
0.0025,2000,2,1,3.0,0.02,0.04,normal,89745122872.98714,12923297693710.148,299.0849310222226
0.0025,2000,2,1,3.0,0.02,0.04,direct110,276543888728.49713,39822319976903.586,299.0849310222226
0.0025,2000,2,1,3.0,0.02,0.04,transverse,198972513059.15854,28652041880518.83,299.0849310222226
0.0025,2000,2,1,3.0,0.04,0.08,normal,67902072705.223785,9777898469552.225,299.0849310222226
0.0025,2000,2,1,3.0,0.04,0.08,direct110,232276479669.93225,33447813072470.242,299.0849310222226
0.0025,2000,2,1,3.0,0.04,0.08,transverse,222298796598.41483,32011026710171.734,299.0849310222226
0.0025,2000,2,1,3.0,0.08,0.16,normal,85151800520.44559,12261859274944.164,299.0849310222226
0.0025,2000,2,1,3.0,0.08,0.16,direct110,247390429222.45688,35624221808033.79,299.0849310222226
0.0025,2000,2,1,3.0,0.08,0.16,transverse,202815400680.47714,29205417697988.707,299.0849310222226
0.0025,2000,4,0,2.0,0.01,0.02,normal,64757843166.53424,9325129415980.93,299.0815468261454
0.0025,2000,4,0,2.0,0.01,0.02,direct110,197267049867.41364,28406455180907.562,299.0815468261454
0.0025,2000,4,0,2.0,0.01,0.02,transverse,173219371361.32013,24943589476030.098,299.0815468261454
0.0025,2000,4,0,2.0,0.02,0.04,normal,62763106641.70932,9037887356406.143,299.0815468261454
0.0025,2000,4,0,2.0,0.02,0.04,direct110,235914938448.66223,33971751136607.36,299.0815468261454
0.0025,2000,4,0,2.0,0.02,0.04,transverse,222735244324.90167,32073875182785.84,299.0815468261454
0.0025,2000,4,0,2.0,0.04,0.08,normal,71664731312.50166,10319721309000.24,299.0815468261454
0.0025,2000,4,0,2.0,0.04,0.08,direct110,281820841869.504,40582201229208.58,299.0815468261454
0.0025,2000,4,0,2.0,0.04,0.08,transverse,258068727564.5368,37161896769293.3,299.0815468261454
0.0025,2000,4,0,2.0,0.08,0.16,normal,84332113373.3929,12143824325768.578,299.0815468261454
0.0025,2000,4,0,2.0,0.08,0.16,direct110,235278352540.89667,33880082765889.12,299.0815468261454
0.0025,2000,4,0,2.0,0.08,0.16,transverse,260995604441.48508,37583367039573.85,299.0815468261454
0.0025,2000,4,0,3.0,0.01,0.02,normal,64207255543.424446,9245844798253.121,299.0815468261454
0.0025,2000,4,0,3.0,0.01,0.02,direct110,184729249629.4182,26601011946636.223,299.0815468261454
0.0025,2000,4,0,3.0,0.01,0.02,transverse,188489935316.3902,27142550685560.188,299.0815468261454
