observable,role,original_role,validation_status,source_target,imposed_target,prediction,units,scale,imposed_normalized_residual,source_normalized_residual
v17_shockley067_energy,heldout,heldout,retrospective,0.07506981596967024,0.07506981596967024,0.06758830559187518,eV/cell,0.007506981596967025,-0.9966069959220033,-0.9966069959220033
v17_shockley067_normal_force,heldout,heldout,retrospective,-0.08375074170661885,-0.08375074170661885,-0.04859584326105307,eV/L0,0.03173805605024358,1.1076575827427206,1.1076575827427206
v17_shockley067_Haa,heldout,heldout,retrospective,14.560238367523052,14.560238367523052,17.011526917975402,eV/L0^2,1.4560238367523053,1.6835497390757048,1.6835497390757048
v17_shockley067_Hxx,heldout,heldout,retrospective,0.4530475235373633,0.4530475235373633,0.037364911225419684,eV/L0^2,0.1,-4.156826123119435,-4.156826123119435
v17_compression_energy,heldout,heldout,retrospective,0.025317916775100896,0.025317916775100896,0.024248443051296698,eV/cell,0.004433026104653031,-0.24125139319203384,-0.24125139319203384
v17_compression_normal_force,heldout,heldout,retrospective,-0.6769543589544016,-0.6769543589544016,-0.6159106726451459,eV/L0,0.03173805605024358,1.9233593328028427,1.9233593328028427
v17_compression_Haa,heldout,heldout,retrospective,26.962376342241654,26.962376342241654,20.79090309788624,eV/L0^2,2.6962376342241656,-2.288920370377976,-2.288920370377976
v17_compression_Hxx,heldout,heldout,retrospective,5.568444170552721,5.568444170552721,3.6129924081005313,eV/L0^2,0.5568444170552721,-3.5116662797718097,-3.5116662797718097
v17_opening1.045_energy,heldout,heldout,retrospective,0.012439540042104347,0.012439540042104347,0.009996423906702084,eV/cell,0.004433026104653031,-0.5511170197797614,-0.5511170197797614
v17_opening1.045_normal_force,heldout,heldout,retrospective,0.6560493060873362,0.6560493060873362,0.49156158404458894,eV/L0,0.03173805605024358,-5.1826653082454595,-5.1826653082454595
v17_opening1.045_Haa,heldout,heldout,retrospective,16.173163667497242,16.173163667497242,11.110765399213877,eV/L0^2,1.6173163667497243,-3.130122449979979,-3.130122449979979
v17_opening1.045_Hxx,heldout,heldout,retrospective,3.5468340021412335,3.5468340021412335,2.782402386360391,eV/L0^2,0.35468340021412337,-2.1552506131365408,-2.1552506131365408
v17_opening1.255_energy,heldout,heldout,retrospective,0.2548812728796389,0.2548812728796389,0.16131379189933315,eV/cell,0.02548812728796389,-3.671022194890347,-3.671022194890347
v17_opening1.255_normal_force,heldout,heldout,retrospective,1.5479287243761108,1.5479287243761108,0.9668558459075858,eV/L0,0.03173805605024358,-18.30839537080172,-18.30839537080172
v17_opening1.255_Haa,heldout,heldout,retrospective,-3.07660296796585,-3.07660296796585,-0.33335356187024695,eV/L0^2,0.307660296796585,8.916488200326187,8.916488200326187
v17_opening1.255_Hxx,heldout,heldout,retrospective,-0.8591645505462155,-0.8591645505462155,0.6544766098072816,eV/L0^2,0.1,15.13641160353497,15.13641160353497
v17_opening1.555_energy,heldout,heldout,retrospective,0.4970497627048889,0.4970497627048889,0.3769348219278928,eV/cell,0.04970497627048889,-2.4165576525646864,-2.4165576525646864
v17_opening1.555_normal_force,heldout,heldout,retrospective,0.5361595264738468,0.5361595264738468,0.7828333342619649,eV/L0,0.03173805605024358,7.772177583832358,7.772177583832358
v17_opening1.555_Haa,heldout,heldout,retrospective,-0.9598397042596563,-0.9598397042596563,-0.8044363577935808,eV/L0^2,0.1,1.5540334646607545,1.5540334646607545
v17_opening1.555_Hxx,heldout,heldout,retrospective,-0.8905810007935903,-0.8905810007935903,0.069710658579492,eV/L0^2,0.1,9.602916593730821,9.602916593730821
v17_opening1.855_energy,heldout,heldout,retrospective,0.6331364785570511,0.6331364785570511,0.5438152002819711,eV/cell,0.06331364785570512,-1.4107744743858008,-1.4107744743858008
v17_opening1.855_normal_force,heldout,heldout,retrospective,0.6294361584094642,0.6294361584094642,0.5775794198233969,eV/L0,0.03173805605024358,-1.6338977568120254,-1.6338977568120254
v17_opening1.855_Haa,heldout,heldout,retrospective,0.33758173393615254,0.33758173393615254,-0.8485538216941103,eV/L0^2,0.1,-11.861355556302629,-11.861355556302629
v17_opening1.855_Hxx,heldout,heldout,retrospective,-0.0764657682265532,-0.0764657682265532,0.004952579694089983,eV/L0^2,0.1,0.8141834792064317,0.8141834792064317
v17_opening2.455_energy,heldout,heldout,retrospective,0.7722611869157332,0.7722611869157332,0.7363272937071316,eV/cell,0.07722611869157332,-0.46530751276151633,-0.46530751276151633
v17_opening2.455_normal_force,heldout,heldout,retrospective,-0.03892592855831557,-0.03892592855831557,0.2398433700719739,eV/L0,0.03173805605024358,8.78343960918646,8.78343960918646
v17_opening2.455_Haa,heldout,heldout,retrospective,1.5212189106347462,1.5212189106347462,-0.4843495489471578,eV/L0^2,0.15212189106347462,-13.183956927968094,-13.183956927968094
v17_opening2.455_Hxx,heldout,heldout,retrospective,0.04446583977668427,0.04446583977668427,-1.3613716536137122e-05,eV/L0^2,0.1,-0.4447945349322041,-0.4447945349322041
v17_opening3.75_energy,heldout,heldout,retrospective,0.7719163228888833,0.7719163228888833,0.8371630963332825,eV/cell,0.07719163228888834,0.8452570765729399,0.8452570765729399
v17_opening3.75_normal_force,heldout,heldout,retrospective,0.0,0.0,0.023642169612507286,eV/L0,0.03173805605024358,0.74491549120337,0.74491549120337
v17_opening3.75_Haa,heldout,heldout,retrospective,0.0,0.0,-0.054153417393735,eV/L0^2,0.1,-0.5415341739373499,-0.5415341739373499
v17_opening3.75_Hxx,heldout,heldout,retrospective,0.0,0.0,-1.5783056234696367e-08,eV/L0^2,0.1,-1.5783056234696365e-07,-1.5783056234696365e-07
v19_new_0_energy,heldout,heldout,retrospective,0.00042417681882149505,0.00042417681882149505,0.00044525163192326656,eV/cell,0.004433026104653031,0.004754046695021891,0.004754046695021891
v19_new_0_force,heldout,heldout,retrospective,-0.13054663793646185,-0.13054663793646185,-0.14031833466052435,eV/L0,0.03173805605024358,-0.30788579831711227,-0.30788579831711227
v19_new_0_Haa,heldout,heldout,retrospective,20.302032153219432,20.302032153219432,23.306084474389507,eV/L0^2,2.030203215321943,1.4796806046303608,1.4796806046303608
v19_new_0_Hxx,heldout,heldout,retrospective,4.57090105595751,4.57090105595751,4.994695543547404,eV/L0^2,0.45709010559575103,0.9271574300159895,0.9271574300159895
v19_new_1_energy,heldout,heldout,retrospective,0.004931943136885955,0.004931943136885955,0.004228931282510829,eV/cell,0.004433026104653031,-0.15858509239032562,-0.15858509239032562
