cells,charge_rate_model,initial,time_model,L1_marginal_error,L1_charge_disequilibrium,probability_mass_error,minimum_probability,generator_column_sum_max_abs,stationary_residual,detailed_balance_residual
24,3000.0,local_charge_equilibrium,0.3,9.959637056201731e-05,0.00013969733278486668,5.284661597215745e-14,3.6383213757487448e-09,9.094947017729282e-13,2.4868995751603507e-14,2.1316282072803006e-14
24,3000.0,local_charge_equilibrium,1.0,5.8608317042709664e-05,3.654210502872449e-05,1.6697754290362354e-13,1.835260732931949e-06,9.094947017729282e-13,2.4868995751603507e-14,2.1316282072803006e-14
24,3000.0,all_sector_0,0.03,0.00037981147899471425,0.0004016583201870034,5.773159728050814e-15,4.916180089028006e-14,9.094947017729282e-13,2.4868995751603507e-14,2.1316282072803006e-14
24,3000.0,all_sector_0,0.3,0.000169377352169753,0.000139674046261142,5.284661597215745e-14,3.6552587300813424e-09,9.094947017729282e-13,2.4868995751603507e-14,2.1316282072803006e-14
24,3000.0,all_sector_0,1.0,0.00010188317504185902,3.654167988355138e-05,1.6697754290362354e-13,1.8356098032463806e-06,9.094947017729282e-13,2.4868995751603507e-14,2.1316282072803006e-14
24,30000.0,local_charge_equilibrium,0.03,6.317749736165576e-06,4.0192998659468195e-05,1.9984014443252818e-14,4.21866093590046e-14,7.275957614183426e-12,2.2737367544323206e-13,2.2737367544323206e-13
24,30000.0,local_charge_equilibrium,0.3,9.969657256816906e-06,1.3965043135658085e-05,2.8066438062523957e-13,3.5645751163209454e-09,7.275957614183426e-12,2.2737367544323206e-13,2.2737367544323206e-13
24,30000.0,local_charge_equilibrium,1.0,5.8629931563478576e-06,3.653352317138313e-06,1.0884626533425035e-12,1.8295513575822732e-06,7.275957614183426e-12,2.2737367544323206e-13,2.2737367544323206e-13
24,30000.0,all_sector_0,0.03,3.795342227926963e-05,4.019007347724134e-05,1.9984014443252818e-14,4.2434827987055023e-14,7.275957614183426e-12,2.2737367544323206e-13,2.2737367544323206e-13
24,30000.0,all_sector_0,0.3,1.6936513357791933e-05,1.3964810719863745e-05,2.8066438062523957e-13,3.566242602136988e-09,7.275957614183426e-12,2.2737367544323206e-13,2.2737367544323206e-13
