run,observable,role,units,target,prediction,scale,normalized_residual
separate_range,opening_1.25h_energy,fit,eV/cell,0.24853683654490819,0.2158029329966617,0.02485368365449082,-1.3170644642985059
separate_range,opening_3h_energy,fit,eV/cell,0.7719163228888833,0.7777846446201848,0.07719163228888834,0.07602277030934365
separate_range,saddle_Haa,fit,eV/L0^2,12.717337762538286,22.27952867913029,1.2717337762538286,7.519019385298974
separate_range,saddle_Hxx,fit,eV/L0^2,-0.18642463121762062,-0.06028461072794461,0.018642463121762064,6.766274374035259
separate_range,fault_Haa,fit,eV/L0^2,14.140554350039636,24.429950806585694,1.4140554350039638,7.276515617308323
separate_range,fault_Hxx,fit,eV/L0^2,2.4858929774856264,2.646192319049515,0.24858929774856264,0.6448360529423288
separate_range,saddle_normal_path_coupling,fit,eV/L0^2,1.2055891043737141,0.617848052424899,0.12055891043737142,-4.87513573087688
separate_range,opening_1.1h_normal_force,fit,eV/L0,1.2761663221727821,1.2034844408991983,0.03173805605024358,-2.290054600651134
separate_range,opening_1.3h_normal_force,fit,eV/L0,1.4139711872929317,1.1699783950481053,0.03173805605024358,-7.687704371640424
separate_range,opening_1.5h_normal_force,fit,eV/L0,0.6379256757978651,0.8030101625098747,0.03173805605024358,5.201468119240485
separate_range,opening_2h_normal_force,fit,eV/L0,0.5548811295393773,0.3366925845046671,0.03173805605024358,-6.874666321380942
separate_range,opening_2.5h_normal_force,fit,eV/L0,0.0005156382639574782,0.149145309872994,0.03173805605024358,4.683011189272124
separate_range,opening_3h_normal_force,fit,eV/L0,0.0,0.06722721784913369,0.03173805605024358,2.118189524358652
separate_range,shockley_0.15_energy,fit,eV/cell,0.013715574532912111,0.012502860562209558,0.004433026104653031,-0.27356346253626945
separate_range,shockley_0.35_energy,fit,eV/cell,0.04820527408303389,0.04997452405904379,0.004820527408303389,0.3670241502957444
separate_range,shockley_0.75_energy,fit,eV/cell,0.08334161260537679,0.09928016647006299,0.00833416126053768,1.9124364607816489
separate_range,new_direct_017_energy,fit,eV/cell,0.05826439239193282,0.051107289191629886,0.0058264392391932825,-1.2283837360147072
separate_range,new_direct_017_normal_force,fit,eV/L0,-0.44118804525591643,-0.44787943010439785,0.03173805605024358,-0.21083159087905334
separate_range,new_direct_017_Haa,fit,eV/L0^2,26.109437232644353,27.447504391166667,2.6109437232644357,0.512484105497817
separate_range,new_direct_039_energy,fit,eV/cell,0.2262381941113307,0.22687164727229298,0.022623819411133072,0.027999390794754934
separate_range,new_direct_039_normal_force,fit,eV/L0,-1.9685101248020884,-1.9747758257534174,0.03173805605024358,-0.19741917845913118
separate_range,new_direct_039_Haa,fit,eV/L0^2,36.31678531793335,46.936297456965434,3.6316785317933356,2.9241333025663288
separate_range,new_raised_direct_energy,fit,eV/cell,0.11960599647825673,0.11868437756044516,0.011960599647825674,-0.07705457459895144
separate_range,new_raised_direct_normal_force,fit,eV/L0,0.08783049166112324,0.16182006403795357,0.03173805605024358,2.3312572219199446
separate_range,new_raised_direct_Haa,fit,eV/L0^2,20.00400949091716,17.541728291426153,2.000400949091716,-1.2308938368625586
