source_frame,atoms,observed_group,Si_without_O_neighbors,Si_with_1_to_3_O_neighbors,Si_with_4_or_more_O_neighbors,Si_with_H_neighbors
526,224,Si_H_vacuum1,192,0,0,16
527,224,Si_H_vacuum1,192,0,0,16
528,224,Si_H_vacuum1,192,0,0,16
529,224,Si_H_vacuum1,192,0,0,16
530,224,Si_H_vacuum1,192,0,0,16
531,224,Si_H_vacuum1,192,0,0,16
532,224,Si_H_vacuum1,192,0,0,16
533,224,Si_H_vacuum1,192,0,0,16
534,224,Si_H_vacuum1,192,0,0,16
535,224,Si_H_vacuum1,192,0,0,16
536,224,Si_H_vacuum1,192,0,0,16
537,224,Si_H_vacuum1,192,0,0,16
538,224,Si_H_vacuum1,192,0,0,16
539,224,Si_H_vacuum1,192,0,0,16
540,224,Si_H_vacuum1,192,0,0,16
541,224,Si_H_vacuum1,192,0,0,16
542,224,Si_H_vacuum1,192,0,0,16
543,224,Si_H_vacuum1,192,0,0,16
544,224,Si_H_vacuum1,192,0,0,16
545,224,Si_H_vacuum1,192,0,0,16
546,224,Si_H_vacuum1,192,0,0,16
547,224,Si_H_vacuum1,192,0,0,16
548,224,Si_H_vacuum1,192,0,0,16
549,224,Si_H_vacuum1,192,0,0,16
550,224,Si_H_vacuum1,192,0,0,16
551,224,Si_H_vacuum1,192,0,0,16
552,224,Si_H_vacuum1,192,0,0,16
553,224,Si_H_vacuum1,192,0,0,16
554,224,Si_H_vacuum1,192,0,0,16
555,224,Si_H_vacuum1,192,0,0,16
556,224,Si_H_vacuum1,192,0,0,16
557,224,Si_H_vacuum1,192,0,0,16
558,224,Si_H_vacuum1,192,0,0,16
559,224,Si_H_vacuum1,192,0,0,16
560,224,Si_H_vacuum1,192,0,0,16
561,224,Si_H_vacuum1,192,0,0,16
562,224,Si_H_vacuum1,192,0,0,16
563,224,Si_H_vacuum1,192,0,0,16
564,224,Si_H_vacuum1,192,0,0,16
565,224,Si_H_vacuum1,192,0,0,16
566,224,Si_H_vacuum1,192,0,0,16
567,224,Si_H_vacuum1,192,0,0,16
568,224,Si_H_vacuum1,192,0,0,16
569,224,Si_H_vacuum1,192,0,0,16
570,224,Si_H_vacuum1,192,0,0,16
571,224,Si_H_vacuum1,192,0,0,16
572,224,Si_H_vacuum1,192,0,0,16
573,224,Si_H_vacuum1,192,0,0,16
574,224,Si_H_vacuum1,192,0,0,16
575,224,Si_H_vacuum1,192,0,0,16
576,224,Si_H_vacuum1,192,0,0,16
577,224,Si_H_vacuum1,192,0,0,16
578,224,Si_H_vacuum1,192,0,0,16
579,224,Si_H_vacuum1,192,0,0,16
580,224,Si_H_vacuum1,192,0,0,16
581,224,Si_H_vacuum1,192,0,0,16
582,224,Si_H_vacuum1,192,0,0,16
583,224,Si_H_vacuum1,192,0,0,16
584,224,Si_H_vacuum1,192,0,0,16
585,224,Si_H_vacuum1,192,0,0,16
586,224,Si_H_vacuum1,192,0,0,16
587,224,Si_H_vacuum1,192,0,0,16
588,224,Si_H_vacuum1,192,0,0,16
589,224,Si_H_vacuum1,192,0,0,16
590,232,Si_O_H_vacuum1,181,11,0,16
591,232,Si_O_H_vacuum1,182,10,0,16
592,232,Si_O_H_vacuum1,180,12,0,16
593,232,Si_O_H_vacuum1,181,11,0,16
594,232,Si_O_H_vacuum1,180,12,0,16
595,232,Si_O_H_vacuum1,180,12,0,16
596,232,Si_O_H_vacuum1,182,10,0,16
597,232,Si_O_H_vacuum1,180,12,0,16
598,232,Si_O_H_vacuum1,180,12,0,16
599,232,Si_O_H_vacuum1,180,12,0,16
600,232,Si_O_H_vacuum1,180,12,0,16
601,232,Si_O_H_vacuum1,180,12,0,16
602,232,Si_O_H_vacuum1,180,12,0,16
