observable,role,target,scale,units,u,v,A,B,C,D3,D1,D2,D_Eg,K3
v16_off_plus_Haa,fit,20.981095919956758,2.098109591995676,eV/L0^2,357.25542481261476,-87.1577116070107,-1.178804797601642,2.742368659217487,1.511223457802931,0.11166302956702236,2.0189593147788756,1.1890803325834103,4.697474918400522,0.00018610810571162634
v16_off_minus_energy,fit,0.21182429891635463,0.021182429891635463,eV/cell,-1.5615903937004076,1.5610220702421647,0.08993068480143007,-0.1770067644372575,0.01100912118333005,0.00222190192205607,0.010335215760555514,0.001740564625975418,0.01900293144886671,2.4565522228054644e-06
v16_off_minus_normal_force,fit,0.3481661631135443,0.03173805605024358,eV/L0,-16.813590738346562,11.38597095206839,0.6318965634899838,-1.2232287490240499,0.15354290244526334,-0.011008509041524662,0.16353617628352443,0.01821349406463668,0.11481653806590417,-2.4544421293351005e-05
v16_off_minus_Haa,fit,5.497617912510364,0.5497617912510364,eV/L0^2,206.82806219504803,-60.41916866820111,-1.1070909600412326,2.4349406886579965,0.7740898763636019,0.053693911781602086,0.7689239924309087,1.0354644225051595,0.03360704458146957,0.00024131674598612608
v16_shockley043_energy,fit,0.061697611386283796,0.00616976113862838,eV/cell,0.5632154678986404,-0.10748971290009797,-0.00047680564546359605,0.0009537226748483896,4.4564081665574814e-07,0.0014048785064768442,3.60275684891937e-05,0.0022815028110908216,0.007116279311776247,9.867784576339352e-07
v16_shockley043_normal_force,fit,-0.43484281773712713,0.03173805605024358,eV/L0,-37.565164759610546,18.760544753980195,0.774219348232151,-1.5487395290171677,-0.001203755377654171,-0.00867371981290462,-0.012264080811774696,-0.055180204223500284,-0.038305250543078935,-1.2176645780502232e-05
v16_shockley043_Haa,fit,25.03469226049791,2.5034692260497913,eV/L0^2,412.8447427068079,-95.20126603741673,-1.190168302175951,2.7998549939092716,1.6792208142267593,0.1644675536018055,2.308658413629875,0.8979832124869467,6.266040197372655,0.00030463243217995853
v16_opening1.21_energy,fit,0.19627832926906572,0.019627832926906574,eV/cell,-2.4425034094411724,2.0922739917210857,0.11565476965078769,-0.22655020933235037,0.018156688200752863,0.00048537119630450776,0.020069698422481873,0.004527969962755158,0.02381064504480233,1.1389895834854659e-07
v16_opening1.21_normal_force,fit,1.631864707518524,0.03173805605024358,eV/L0,-5.530323340399655,8.105601931946946,0.5822695902872354,-1.1161754066842735,0.18006479020536872,0.0017857602737920272,0.1801590401323131,0.01717474414696238,0.08450914789559318,8.203300924096058e-07
v16_opening1.21_Haa,fit,-1.3832350292334812,0.13832350292334814,eV/L0^2,52.165767148868476,-34.9061989135108,-1.0174564373125015,2.2005126114597338,0.5492027048010715,-0.026412260924739264,0.23634117348768802,-0.156741824752211,-1.4188934656830168,-9.657041650419597e-06
v16_opening1.62_energy,fit,0.5246331923940108,0.05246331923940109,eV/cell,-3.024081996799366,3.586377317903907,0.26084817761613377,-0.4969283841320955,0.08872155869475241,0.0004475411320526625,0.07157921273696972,0.006372876583802204,0.03124349562443571,8.950573665488035e-08
v16_opening1.62_normal_force,fit,0.5093642313524578,0.03173805605024358,eV/L0,-0.30690263527717215,2.2695531994343163,0.3070375295489532,-0.5545770076492,0.20092953404392405,-0.00017277858909137768,0.10076890179645387,0.0010067929708450808,0.005213933271396439,-8.445611593601765e-08
